,Index,Subject,Block,Trial,TrialType,LeftContext,RightContext,LeftItem,RightItem,LeftRank,RightRank,D_Ranks,LeftValue,RightValue,D_Value,Choice,Correct,ChoiceRT,ITI,LeftTragetLoc,RightTragetLoc,LeftContext1,LeftContext2,RightContext1,RightContext2,att,LeftContext1_val,LeftContext2_val,RightContext1_val,RightContext2_val
75,76,201,1,76,Hl,High,Low,Kettle,Scale_Kitchen,21,29,-8,10.07,15.77,-5.7,1,0,733.09,1059.79,3,1,Popcorn_Machine,Pulse_Clock,Pointer,Flashlight,0,30,30,0.733333333,3.8
76,77,201,1,77,hh,High,High,Matress_Folded,Box_Pig,27,40,-13,15,19,-4,2,1,933.15,845.32,2,3,Sushi_Kit,Computer_Tray,Pan,Computer_Tray,0,30,29.1,28.9,29.1
77,78,201,1,78,Hl,High,Low,Matress_Folded,Coffee_Machine,27,48,-21,15,26.23,-11.23,2,1,649.86,1129.67,2,3,Whiskey,Popcorn_Machine,Newton_Cradle,Flashlight,0,30,30,1.333333333,3.8
78,79,201,1,79,Hl,Low,High,Beer,Calculator,25,22,3,12.03,10.33,1.7,1,1,799.91,1147.62,2,2,Gold_USB,Stormtrooper_USB,Whiskey,Pulse_Clock,0,0.5,3.366666667,30,30
79,80,201,1,80,Hh,Low,High,Tea_Box,Coffee_Machine,24,48,-24,11.43,26.23,-14.8,2,1,366.51,891.85,1,3,Newton_Cradle,Flashlight,Popcorn_Machine,Sushi_Kit,0,1.333333333,3.8,30,30
80,81,201,1,81,Hl,High,Low,Beer,Portable_Speaker,25,33,-8,12.03,17.6,-5.57,2,1,916.51,1081.6,3,3,White_Wine,Computer_Tray,Pointer,Cake,0,29.96666667,29.1,0.733333333,1.1
81,82,201,1,82,Hh,Low,High,Portable_Speaker,Coffee_Machine,33,48,-15,17.6,26.23,-8.63,2,1,316.46,814.17,2,1,Chocolate,Gold_USB,Sushi_Kit,White_Wine,0,1.7,0.5,30,29.96666667
82,83,201,1,83,ll,Low,Low,Coffee_Machine,Picnic_Cooler,48,36,12,26.23,17.73,8.5,2,0,616.46,1015.77,3,2,Cake,Gold_USB,Pizza,Chocolate,0,1.1,0.5,2.166666667,1.7
83,84,201,1,84,Hh,Low,High,Bottle,Camping_Chair,32,37,-5,17.07,18.07,-1,2,1,266.44,1145.54,1,1,Newton_Cradle,Stormtrooper_USB,Pan,Whiskey,0,1.333333333,3.366666667,28.9,30
84,85,201,1,85,Hl,Low,High,Portable_Speaker,Erasable_Board,33,14,19,17.6,6.53,11.07,1,1,566.51,920.3,2,2,Stormtrooper_USB,Chocolate,White_Wine,Computer_Tray,0,3.366666667,1.7,29.96666667,29.1
85,86,201,1,86,hh,High,High,Sleeping_Bag,Women_Hairblower,20,30,-10,9.83,16.2,-6.37,1,0,916.48,1026.13,2,3,Popcorn_Machine,Pan,Pan,White_Wine,0,30,28.9,28.9,29.96666667
86,87,201,1,87,ll,Low,Low,Flight_Pillow,Stove,12,44,-32,5.73,23.4,-17.67,2,1,583.14,1124.83,1,2,Newton_Cradle,Stormtrooper_USB,Cake,Pointer,0,1.333333333,3.366666667,1.1,0.733333333
87,88,201,1,88,Hh,High,Low,Portable_Speaker,Beer,33,25,8,17.6,12.03,5.57,1,1,499.88,1120.42,1,3,Computer_Tray,Sushi_Kit,Newton_Cradle,Stormtrooper_USB,0,29.1,30,1.333333333,3.366666667
88,89,201,1,89,Hh,Low,High,Fan,Kettle,19,21,-2,9.4,10.07,-0.67,2,1,449.73,829.62,1,2,Stormtrooper_USB,Chocolate,Whiskey,Pulse_Clock,0,3.366666667,1.7,30,30
89,90,201,1,90,Hl,High,Low,Wine,Bottle,28,32,-4,15.5,17.07,-1.57,1,0,333.07,1116.76,1,1,Pulse_Clock,Popcorn_Machine,Newton_Cradle,Pizza,0,30,30,1.333333333,2.166666667
90,91,201,2,1,Hl,Low,High,Thermos,Head_Lamp,45,15,30,23.97,6.9,17.07,1,1,349.73,1118.53,3,2,Chocolate,Stormtrooper_USB,Pulse_Clock,Whiskey,0,1.7,3.366666667,30,30
91,92,201,2,2,ll,Low,Low,Tea_Box,Erasable_Board,24,14,10,11.43,6.53,4.9,1,1,666.62,1020.23,1,1,Pizza,Gold_USB,Chocolate,Cake,0,2.166666667,0.5,1.7,1.1
92,93,201,2,3,Hh,High,Low,Mouse,Measuring_Tape,26,11,15,14.1,5.13,8.97,2,0,532.99,1112.24,1,2,Sushi_Kit,Popcorn_Machine,Chocolate,Newton_Cradle,0,30,30,1.7,1.333333333
93,94,201,2,4,hh,High,High,Body_Scale,Camping_Chair,23,37,-14,10.7,18.07,-7.37,2,1,666.54,993.71,3,2,Popcorn_Machine,White_Wine,Sushi_Kit,Whiskey,0,30,29.96666667,30,30
94,95,201,2,5,Hl,Low,High,Chef_Knife,Matress_Folded,34,27,7,17.6,15,2.6,1,1,749.72,899.38,2,1,Gold_USB,Chocolate,Computer_Tray,Vodka,0,0.5,1.7,29.1,30
95,96,201,2,6,hh,High,High,Bottle,Wine,32,28,4,17.07,15.5,1.57,2,0,1233.54,1072.14,1,2,Popcorn_Machine,Sushi_Kit,Sushi_Kit,Vodka,0,30,30,30,30
96,97,201,2,7,Hl,Low,High,Chef_Knife,Body_Scale,34,23,11,17.6,10.7,6.9,1,1,999.86,851.2,3,2,Flashlight,Newton_Cradle,Computer_Tray,Sushi_Kit,0,3.8,1.333333333,29.1,30
97,98,201,2,8,Hl,Low,High,Head_Lamp,Battery,15,9,6,6.9,4,2.9,1,1,916.53,1144.79,3,3,Chocolate,Gold_USB,Vodka,Whiskey,0,1.7,0.5,30,30
98,99,201,2,9,Hh,Low,High,Earphones,Melon_Cutter,31,38,-7,16.7,18.2,-1.5,2,1,99.81,1066.36,1,3,Chocolate,Flashlight,Popcorn_Machine,Pulse_Clock,0,1.7,3.8,30,30
99,100,201,2,10,ll,Low,Low,Fan,Bottle,19,32,-13,9.4,17.07,-7.67,2,1,1199.78,879.64,1,2,Newton_Cradle,Flashlight,Chocolate,Pizza,0,1.333333333,3.8,1.7,2.166666667
100,101,201,2,11,Hh,Low,High,Mentos,Scale_Kitchen,18,29,-11,9.1,15.77,-6.67,2,1,449.92,977.29,3,1,Gold_USB,Pizza,Pulse_Clock,White_Wine,0,0.5,2.166666667,30,29.96666667
